Data      923796237 23 12 f   -     -     -         5000    0    0 
Data      923796424 23 11 f   -     -     -         5000    0    0 
Data      923796616 23 10 f   -     -     -         5000    0    0 
Data      923796716 22  8 f   -     -     -         5000    0    0 
Data      923796800 22  7 f   -     -     -         5000    0    0 
Data      923796911 21  6 f   -     -     -         5000    0    0 
Data      923797020 21  5 f   -     -     -         5000    0    0 
Data      923797117 21  4 f   -     -     -         5000    0    0 
Data      923797208 19  3 f   -     -     -         5000    0    0 
Data      923797309 18  2 Bf  -     -     -         5000  200    0 
Data      923797374 18  1 Bf  -     -     -         4800  100    0 
Data      923797499 18 18 f   -     -     -         4700    0    0 
Data      923797560 18 17 f   -     -     -         4700    0    0 
Data      923797597 18 16 f   -     -     -         4700    0    0 
Data      923797673 18 15 f   -     -     -         4700    0    0 
Data      923797761 18 14 f   -     -     -         4700    0    0 
Data      923797811 18 13 f   -     -     -         4700    0    0 
Data      923797876 18 12 f   -     -     -         4700    0    0 
Data      923797963 16 10 f   -     -     -         4700    0    0 
Data      923798024 15  9 f   -     -     -         4700    0    0 
Data      923798061 15  8 f   -     -     -         4700    0    0 
Data      923798092 15  7 f   -     -     -         4700    0    0 
Data      923798147 14  5 f   -     -     -         4700    0    0 
Data      923798216 12  4 f   -     -     -         4700    0    0 
Data      923798241 12  3 f   -     -     -         4700    0    0 
Data      923798291 12  2 Bk  f     -     -         4700 1600    0 
Data      923798357 12  1 Bf  -     -     -         3100  800    0 
Data      923798391 12 12 f   -     -     -         2300    0    0 
Data      923798424 12 11 f   -     -     -         2300    0    0 
Data      923798459 12 10 f   -     -     -         2300    0    0 
Data      923798491 10  9 f   -     -     -         2300    0    0 
Data      923798550 10  8 f   -     -     -         2300    0    0 
Data      923798608  9  7 f   -     -     -         2300    0    0 
Data      923798641  9  6 f   -     -     -         2300    0    0 
Data      923798674  8  5 f   -     -     -         2300    0    0 
Data      923798695  8  4 f   -     -     -         2300    0    0 
Data      923798732  8  3 f   -     -     -         2300    0    0 
Data      923798751  8  2 BA  -     -     -         2300 2300    0 4d Js
