Data      810347268  4  3 r   b     b     b         1000   70  135 
Data      810347299  4  2 Bf  -     -     -         1065   10    0 
Data      810347349  4  1 Bc  k     b     -         1055   30   40 
Data      810347376  4  4 f   -     -     -         1065    0    0 
Data      810347409  4  3 c   r     b     b         1065   70  150 
Data      810347473  4  2 Bf  -     -     -         1145   10    0 
Data      810347514  4  1 Bf  -     -     -         1135    5    0 
Data      810347524  4  4 rc  f     -     -         1130   30    0 
Data      810347567  4  3 f   -     -     -         1100    0    0 
Data      810347599  4  2 Bk  b     -     -         1100   20   35 
Data      810347618  4  1 Bf  -     -     -         1115    5    0 
Data      810347626  4  4 f   -     -     -         1110    0    0 
Data      810347680  4  3 f   -     -     -         1110    0    0 
Data      810347713  5  2 Bf  -     -     -         1110   10    0 
Data      810347754  5  1 Bf  -     -     -         1100    5    0 
Data      810347836  7  7 f   -     -     -         1095    0    0 
Data      810347881  7  6 f   -     -     -         1095    0    0 
Data      810347947  6  5 f   -     -     -         1095    0    0 
Data      810348005  7  4 f   -     -     -         1095    0    0 
Data      810348062  9  3 f   -     -     -         1095    0    0 
Data      810348114  9  2 Bk  b     bc    kf        1095   60    0 
Data      810348191  8  1 Bc  bc    kc    b         1035   80  250 Td Ah
Data      810348245  7  7 f   -     -     -         1205    0    0 
Data      810348271  7  7 f   -     -     -         1205    0    0 
Data      810348320  7  6 r   b     -     -         1205   30   85 
Data      810348361  7  5 f   -     -     -         1260    0    0 
Data      810348428  7  4 f   -     -     -         1260    0    0 
Data      810348490  7  3 f   -     -     -         1260    0    0 
Data      810348537  6  2 Bk  kf    -     -         1260   10    0 
Data      810348566  6  1 Bf  -     -     -         1250    5    0 
Data      810348626  6  6 rc  f     -     -         1245   30    0 
Data      810348706  6  5 c   b     k     c         1215   50  140 Jd Td
Data      810348777  6  4 f   -     -     -         1305    0    0 
Data      810348832  7  3 f   -     -     -         1305    0    0 
Data      810348875  7  2 Bk  k     b     -         1305   30   55 
Data      810348921  7  1 Bf  -     -     -         1330    5    0 
Data      810348941  8  8 f   -     -     -         1325    0    0 
Data      810348996  7  6 r   f     -     -         1325   20    0 
Data      810349035  7  5 f   -     -     -         1305    0    0 
Data      810349108  6  4 c   b     -     -         1305   20   50 
Data      810349141  7  4 f   -     -     -         1335    0    0 
Data      810349166  6  2 B   -     -     -         1335   10   15 
Data      810349182  6  1 Bc  krc   br    k         1340  110    0 Ks 3h
Data      810349288  8  8 f   -     -     -         1230    0    0 
Data      810349400  8  7 f   -     -     -         1230    0    0 
Data      810349470  8  6 c   f     -     -         1230   20    0 
Data      810349551  8  5 rc  kc    kf    -         1210   40    0 
Data      810349711  9  6 f   -     -     -         1170    0    0 
Data      810349768  7  4 f   -     -     -         1170    0    0 
Data      810349845  7  3 Q   -     -     -         1170    0    0 
Data      810426178  4  4 Q   -     -     -         1170    0    0 
Data      810426276  5  2 Brc k     r     k         1170   70    0 Jh Kh
Data      810426334  7  1 Bf  -     -     -         1100    5    0 
Data      810426371  7  7 f   -     -     -         1095    0    0 
Data      810426426  6  5 f   -     -     -         1095    0    0 
Data      810426515  6  4 f   -     -     -         1095    0    0 
Data      810426589  8  4 f   -     -     -         1095    0    0 
Data      810426654  8  3 f   -     -     -         1095    0    0 
Data      810426696  8  2 Bk  k     f     -         1095   10    0 
Data      810426752  8  1 Bf  -     -     -         1085    5    0 
Data      810426812  8  8 r   b     k     k         1080   30    0 Ac 9d
Data      810426869  7  6 f   -     -     -         1050    0    0 
Data      810426971  8  5 f   -     -     -         1050    0    0 
Data      810427063  8  4 f   -     -     -         1050    0    0 
Data      810427120  8  3 f   -     -     -         1050    0    0 
Data      810427151  8  2 Br  k     bf    -         1050   50    0 
Data      810427227  8  1 Bf  -     -     -         1000    5    0 
Data      810427282  8  8 f   -     -     -          995    0    0 
Data      810427327  8  7 c   b     c     c          995   60    0 Qc 6c
Data      810427412  8  6 f   -     -     -          935    0    0 
Data      810427486  7  5 f   -     -     -          935    0    0 
Data      810427523  6  4 f   -     -     -          935    0    0 
Data      810427600  5  3 f   -     -     -          935    0    0 
Data      810427703  5  2 f   -     -     -          935    0    0 
Data      810427743  5  2 Bk  k     kr    -          935   50  100 
Data      810427792  5  1 Bf  -     -     -          985    5    0 
Data      810427820  4  4 f   -     -     -          980    0    0 
Data      810427851  4  3 f   -     -     -          980    0    0 
Data      810427859  4  2 Bc  c     r     -          980   70  120 
Data      810427907  5  1 Bc  bc    kc    kc        1030   80  200 9h Ad
Data      810427961  5  5 r   c     c     c         1150   70    0 9d 9h
Data      810428009  5  4 r   c     f     -         1080   30    0 
Data      810428059  4  3 f   -     -     -         1050    0    0 
Data      810428094  4  2 Bc  c     r     k         1050   70  140 As Jd
Data      810428119  4  1 Bc  k     k     k         1120   20   60 Tc Td
Data      810428162  5  4 rc  rc    c     kc        1160  110    0 Ad Ts
Data      810428218  6  3 fQ  -     -     -         1050    0    0 
Data      810428409  4  2 Br  b     k     k         1050   30   60 Ah 9s
Data      810428439  4  1 Bf  -     -     -         1080    5    0 
Data      810428455  4  4 r   -     -     -         1075   20   35 
Data      810428470  4  3 fQ  -     -     -         1090    0    0 
Data      810429249  2  1 Bf  -     -     -         1090    5    0 
Data      810429253  2  2 Bk  b     -     -         1085   20   30 
Data      810429264  2  1 Bf  -     -     -         1095    5    0 
Data      810429266  2  2 Bf  -     -     -         1090   10    0 
Data      810429274  2  1 Bcc kc    k     k         1080   30    0 Ah 4d
Data      810429296  2  2 B   -     -     -         1050   10   15 
Data      810429299  2  1 Bc  b     -     -         1055   20   30 
