data      926816303 16  2 Bf  -     -     -        10000  100    0 
data      926816401 16  1 Bf  -     -     -         9900   50    0 
data      926816507 16 16 c   f     -     -         9850  200    0 
data      926816632 16 15 f   -     -     -         9650    0    0 
data      926816772 15 13 f   -     -     -         9650    0    0 
data      926816932 15 12 f   -     -     -         9650    0    0 
data      926817013 14 10 f   -     -     -         9650    0    0 
data      926817083 12  8 f   -     -     -         9650    0    0 
data      926817161 10  6 f   -     -     -         9650    0    0 
data      926817246 10  5 f   -     -     -         9650    0    0 
data      926817324  9  3 f   -     -     -         9650    0    0 
data      926817389  9  2 Bf  -     -     -         9650  400    0 
data      926817424  9  1 Bf  -     -     -         9250  200    0 
data      926817478  9  9 f   -     -     -         9050    0    0 
data      926817551  9  8 f   -     -     -         9050    0    0 
data      926817630  9  7 f   -     -     -         9050    0    0 
data      926817694  9  6 f   -     -     -         9050    0    0 
data      926817710  9  5 f   -     -     -         9050    0    0 
data      926817733  9  4 f   -     -     -         9050    0    0 
data      926817805  9  3 f   -     -     -         9050    0    0 
data      926817856  9  2 Br  -     -     -         9050 5302 9004 Ts Td
data      926817891  8  1 Bf  -     -     -        12752  800    0 
data      926817937  8  8 f   -     -     -        11952    0    0 
data      926817974  8  7 f   -     -     -        11952    0    0 
data      926818023  8  6 f   -     -     -        11952    0    0 
data      926818057  8  5 f   -     -     -        11952    0    0 
data      926818100  8  4 f   -     -     -        11952    0    0 
data      926818174  8  3 f   -     -     -        11952    0    0 
data      926818238  8  2 Bk  kf    -     -        11952 3200    0 
data      926818270  8  1 Bf  -     -     -         8752 1600    0 
data      926818307  8  8 f   -     -     -         7152    0    0 
data      926818378  8  7 f   -     -     -         7152    0    0 
data      926818441  8  6 f   -     -     -         7152    0    0 
data      926818461  8  5 f   -     -     -         7152    0    0 
data      926818525  8  4 f   -     -     -         7152    0    0 
data      926818587  8  3 ccA -     -     -         7152 7152    0 Td Qs
data      926819423 22 11 f   -     -     -         5000    0    0 
data      926819513 22 10 f   -     -     -         5000    0    0 
data      926819611 21  9 f   -     -     -         5000    0    0 
data      926819708 21  8 f   -     -     -         5000    0    0 
data      926819799 21  7 f   -     -     -         5000    0    0 
data      926819897 21  6 f   -     -     -         5000    0    0 
data      926819995 21  5 f   -     -     -         5000    0    0 
data      926820114 20  4 f   -     -     -         5000    0    0 
data      926820223 19  2 Bk  kf    -     -         5000  200    0 
data      926820398 19  1 Bf  -     -     -         4800  100    0 
data      926820503 19 19 c   f     -     -         4700 1400    0 
data      926820592 17 16 f   -     -     -         3300    0    0 
data      926820641 16 15 f   -     -     -         3300    0    0 
data      926820715 16 14 c   f     -     -         3300 1400    0 
data      926820801 16 13 f   -     -     -         1900    0    0 
data      926820891 13  9 f   -     -     -         1900    0    0 
data      926820933 12  7 f   -     -     -         1900    0    0 
data      926821046 12  6 f   -     -     -         1900    0    0 
data      926821119 12  5 f   -     -     -         1900    0    0 
data      926821141 10  3 f   -     -     -         1900    0    0 
data      926821173  9  3 f   -     -     -         1900    0    0 
data      926821248  8  2 BcA -     -     -         1900 1900 4600 Jd Jc
data      926821284  8  1 Bf  -     -     -         4600  800    0 
data      926821330  8  8 f   -     -     -         3800    0    0 
data      926821375  8  7 f   -     -     -         3800    0    0 
data      926821440  7  6 f   -     -     -         3800    0    0 
data      926821489  6  4 f   -     -     -         3800    0    0 
data      926821546  5  3 f   -     -     -         3800    0    0 
data      926821583  4  2 Bk  k     bA    -         3800 3800 9200 Qh Jc
data      926821623  4  1 BcA -     -     -         9200 9200    0 Js Kc
