Data      921613403 18 16 f   -     -     -         5000    0    0 
Data      921613480 17 15 f   -     -     -         5000    0    0 
Data      921613549 17 14 f   -     -     -         5000    0    0 
Data      921613626 17 13 c   f     -     -         5000  175    0 
Data      921613687 17 12 f   -     -     -         4825    0    0 
Data      921613752 17 11 f   -     -     -         4825    0    0 
Data      921613865 17 10 c   f     -     -         4825  100    0 
Data      921613920 17  9 c   kf    -     -         4725  100    0 
Data      921614030 16  8 f   -     -     -         4625    0    0 
Data      921614109 16  7 f   -     -     -         4625    0    0 
Data      921614168 16  6 cf  -     -     -         4625  100    0 
Data      921614237 16  5 c   kf    -     -         4525  200    0 
Data      921614381 16  4 f   -     -     -         4325    0    0 
Data      921614422 16  3 f   -     -     -         4325    0    0 
Data      921614488 16  2 Bf  -     -     -         4325  200    0 
Data      921614566 15  1 Bf  -     -     -         4125  100    0 
Data      921614610 15 15 f   -     -     -         4025    0    0 
Data      921614663 15 14 f   -     -     -         4025    0    0 
Data      921614799 15 13 f   -     -     -         4025    0    0 
Data      921614897 15 12 f   -     -     -         4025    0    0 
Data      921614925 15 11 f   -     -     -         4025    0    0 
Data      921615014 15 10 f   -     -     -         4025    0    0 
Data      921615070 14  8 f   -     -     -         4025    0    0 
Data      921615157 12  7 f   -     -     -         4025    0    0 
Data      921615193 12  6 f   -     -     -         4025    0    0 
Data      921615216 12  5 f   -     -     -         4025    0    0 
Data      921615227 12  4 f   -     -     -         4025    0    0 
Data      921615276 11  3 f   -     -     -         4025    0    0 
Data      921615316 11  2 Bk  f     -     -         4025  800    0 
Data      921615348 11  1 Bf  -     -     -         3225  400    0 
Data      921615380 11 11 f   -     -     -         2825    0    0 
Data      921615415 11 10 f   -     -     -         2825    0    0 
Data      921615430 11  9 f   -     -     -         2825    0    0 
Data      921615456 10  7 f   -     -     -         2825    0    0 
Data      921615510 10  6 f   -     -     -         2825    0    0 
Data      921615528 10  5 f   -     -     -         2825    0    0 
Data      921615555 10  4 f   -     -     -         2825    0    0 
Data      921615601 10  3 f   -     -     -         2825    0    0 
Data      921615647 10  2 Bf  -     -     -         2825 1600    0 
Data      921615674 10  1 Bf  -     -     -         1225  800    0 
Data      921615694  9  9 f   -     -     -          425    0    0 
Data      921615721  7  7 f   -     -     -          425    0    0 
Data      921615749  6  6 f   -     -     -          425    0    0 
Data      921615770  6  5 f   -     -     -          425    0    0 
Data      921615777  6  4 f   -     -     -          425    0    0 
Data      921615791  6  3 f   -     -     -          425    0    0 
Data      921615803  6  2 BA  -     -     -          425  425    0 Qd Th
Data      921618663 15  2 Bk  k     kf    -         4000   50    0 
Data      921618768 15  1 Bf  -     -     -         3950   25    0 
Data      921618826 15 15 f   -     -     -         3925    0    0 
Data      921618926 15 14 f   -     -     -         3925    0    0 
